movieId,tagId,relevance,tag,title_cast,director,runtime,budget,plot_keywords,imdbId,tmdbId,title,genres,year,combine
1,1,0.0287499999999999,007,Tom Hanks|Tim Allen|Don Rickles|Jim Varney|Wallace Shawn|John Ratzenberger|Annie Potts|John Morris|Erik von Detten|Laurie Metcalf|R. Lee Ermey|Sarah Freeman|Penn Jillette|Jack Angel|Spencer Aste,John Lasseter,81.0,"$30,000,000",toy|rivalry|cowboy|cgi animation,114709,862.0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,John Lasseter Adventure Animation Children Comedy Fantasy toy rivalry cowboy cgi animation
2,1,0.04125,007,Robin Williams|Jonathan Hyde|Kirsten Dunst|Bradley Pierce|Bonnie Hunt|Bebe Neuwirth|David Alan Grier|Patricia Clarkson|Adam Hann-Byrd|Laura Bell Bundy|James Handy|Gillian Barber|Brandon Obray|Cyrus Thiedeke|Gary Joseph Thorup,Jonathan Hensleigh,104.0,"$65,000,000",board game|adventurer|fight|game,113497,8844.0,Jumanji (1995),Adventure|Children|Fantasy,1995,Jonathan Hensleigh Adventure Children Fantasy board game adventurer fight game
3,1,0.04675,007,Walter Matthau|Jack Lemmon|Sophia Loren|Ann-Margret|Burgess Meredith|Daryl Hannah|Kevin Pollak|Katie Sagona|Ann Morgan Guilbert|James Andelin|Marcus Klemp|Max Wright|Cheryl Hawker|Wayne A. Evenson|Allison Levine,Mark Steven Johnson,101.0,"$25,000,000",boat|lake|neighbor|rivalry,113228,15602.0,Grumpier Old Men (1995),Comedy|Romance,1995,Mark Steven Johnson Comedy Romance boat lake neighbor rivalry
4,1,0.03425,007,Whitney Houston|Angela Bassett|Loretta Devine|Lela Rochon|Gregory Hines|Dennis Haysbert|Mykelti Williamson|Michael Beach|Leon|Wendell Pierce|Donald Faison|Jeffrey D. Sams|Jazz Raycole|Brandon Hammond|Kenya Moore,Terry McMillan,124.0,"$16,000,000",black american|husband wife relationship|betrayal|mother son relationship,114885,31357.0,Waiting to Exhale (1995),Comedy|Drama|Romance,1995,Terry McMillan Comedy Drama Romance black american husband wife relationship betrayal mother son relationship
5,1,0.0429999999999999,007,Steve Martin|Diane Keaton|Martin Short|Kimberly Williams-Paisley|George Newbern|Kieran Culkin|BD Wong|Peter Michael Goetz|Kate McGregor-Stewart|Jane Adams|Eugene Levy|Rebecca Chambers|April Ortiz|Dulcy Rogers|Kathy Anthony,Albert Hackett,106.0,"$30,000,000",fatherhood|doberman|dog|mansion,113041,11862.0,Father of the Bride Part II (1995),Comedy,1995,Albert Hackett Comedy fatherhood doberman dog mansion
6,1,0.02975,007,Al Pacino|Robert De Niro|Val Kilmer|Jon Voight|Tom Sizemore|Diane Venora|Amy Brenneman|Ashley Judd|Mykelti Williamson|Wes Studi|Ted Levine|Dennis Haysbert|William Fichtner|Natalie Portman|Tom Noonan,Michael Mann,170.0,"$60,000,000",gun battle|organized crime|honor|criminal investigation,113277,949.0,Heat (1995),Action|Crime|Thriller,1995,Michael Mann Action Crime Thriller gun battle organized crime honor criminal investigation
7,1,0.04775,007,Harrison Ford|Julia Ormond|Greg Kinnear|Nancy Marchand|John Wood|Richard Crenna|Angie Dickinson|Lauren Holly|Dana Ivey|Miriam Colon|Elizabeth Franz|Fanny Ardant|Valérie Lemercier|Patrick Bruel|Becky Ann Baker,Samuel A. Taylor,127.0,"$58,000,000",character name as title|chauffeur|estate|playboy,114319,11860.0,Sabrina (1995),Comedy|Romance,1995,Samuel A. Taylor Comedy Romance character name as title chauffeur estate playboy
8,1,0.03725,007,Jonathan Taylor Thomas|Brad Renfro|Eric Schweig|Charles Rocket|Amy Wright|Michael McShane|Marian Seldes|Rachael Leigh Cook|Lanny Flaherty|Courtland Mead|Peter Mackenzie|Heath Lamberts|William Newman|Joey Stinson|Blake Heron,Mark Twain,97.0,,rescue from drowning|near drowning|character names as title|forenames as title,112302,45325.0,Tom and Huck (1995),Adventure|Children,1995,Mark Twain Adventure Children rescue from drowning near drowning character names as title forenames as title
9,1,0.0394999999999999,007,Jean-Claude Van Damme|Powers Boothe|Raymond J. Barry|Whittni Wright|Ross Malinger|Dorian Harewood|Kate McNeil|Michael Gaston|Audra Lindley|Brian Delate|Steve Aronson|Michael R. Aubele|Karen Elise Baldwin|Jennifer D. Bowser|Pat Brisson,Karen Elise Baldwin,111.0,"$35,000,000",hockey|death in title|two word title|terrorist,114576,9091.0,Sudden Death (1995),Action,1995,Karen Elise Baldwin Action hockey death in title two word title terrorist
10,1,0.9995,007,Pierce Brosnan|Sean Bean|Izabella Scorupco|Famke Janssen|Joe Don Baker|Judi Dench|Robbie Coltrane|Tchéky Karyo|Gottfried John|Alan Cumming|Desmond Llewelyn|Samantha Bond|Michael Kitchen|Serena Gordon|Simon Kunz,Ian Fleming,130.0,"$60,000,000",official james bond series|james bond character|007|chemical weapons,113189,710.0,GoldenEye (1995),Action|Adventure|Thriller,1995,Ian Fleming Action Adventure Thriller official james bond series james bond character 007 chemical weapons
